Session Title	Session Level	Session Abstract
I just met you, and "this" is crazy, but here's my NaN, so call(me) maybe? 	200	JavaScript can be a passive-aggressive and fickle language that frustrates you at every turn! It lets you do things like declare variables wherever you want but doesn’t tell you that it will hoist them while you’re not looking. JavaScript’s this keyword is anything but, and eval can turn good code to evil fast. In this session, we will discuss the top 10 common JavaScript headaches, mistakes, or quirks you just need to know as well as how you can avoid them. Learn what can trip you, like the this keyword, JavaScript scoping, evil Eval, and the use of the With statement (VB devs beware!). Alongside those gotchas is the fact that not all equality operators are created equal and how the innocent looking parseInt() causes farce parses, and this session will dig into all these language quirks and more!
Write Next Generation Object Oriented JavaScript with TypeScript	200	TypeScript is Javascript evolved, so if you’re writing in Javascript, TypeScript is worth checking out. Come to this session and learn all about the TypeScript language from its object oriented features to its ES6-style capabilities. You also learn how to use TypeScript’s language features that makes Javascript application-scale and more manageable language for building websites and apps as well as how to leverage TypeScript in Visual Studio.    
Web Runtime Architecture & Performance Deep Dive	300	When does a browser render CSS, HTML, or JavaScript and in what order? How can you cut down on bandwidth and size? What's happening behind the scenes between the DOM and the browser? If you want answers to these questions and other like them, come to this session. We're going to do deep dive tour of how browsers, and IE in particular, fetch, assemble, and render content, as well as what goes on under the hood and when. You'll learn about how IE's Trident layout engine renders HTML and CSS, and how its Chakra engine loads and runs JavaScript. It's all part of IE's runtime architecture, and knowing how this architecture works enables you to build best performing web pages and HTML5 apps. In addition, we'll look at new developer tools that detect runtime performance patterns, that you can use in building better performing user experiences.
Elasticsearch.NET and NEST 1.0	100	Elasticsearch.NET and NEST are both the official low-level and high-level .NET clients of Elasticsearch.  With the recent 1.0 release, they combine the power of C# and .NET with the awesomeness of Elasticsearch, a distributed, real-time search and analytics engine.  This session will kick off with an Elasticsearch primer covering installation and configuration on Windows, followed by a brief overview of indexing and querying via Elaticsearch's REST API.  We will then dive into a detailed overview of the NEST and Elasticsearch.NET libraries, covering the new features introduced in 1.0, complete with coding examples and a sample MVC app demoing the full-text search capabilities of Elasticsearch.
Xamarin and MVVMCross: MVVM to share your code	200	Developing applications using Xamarin enables you to write your service layer one time and share that code among all of that platforms. But, this still does not alleviate the problem of coding the view level details and connecting them to this shared service layer. Enter MVVMCross, developed by Stuart Lodge. MVVMCross embraces the shared nature permitted by Xamarin and allow you to share view model to all projects from a Core project. This enables developers to share code at an even deeper level than permitted by Xamarin alone and enables MVVM to be the guiding force in application feature development. In this talk I will discuss where MVVMCross comes from, how it is installed and why it is important. We will cover examples ranging from basic setup, to integration with Xamarin components, to how MVVM can be applied across platforms. My goal is to show developers just how much more of their code can be shared between platforms which makes development that much easier and rewarding
Top 10 Ways to Go from Good to Great Scrum Master	200	The Scrum Master role in an organization can be difficult.  You live between a rock and a hard place.  You're influential but you probably don't have any real power.  You're not a project manager but you're on the hook for delivering.  You're asked to promise dates when the best you can give is a forecast.  You're long on responsibility and short on power.  (Awesome.) But you do it because it's a great job, right?  There's nothing like helping your team come together and deliver actual working software.    It takes a special kind of person to be Scrum Master -- Nerves of steel, a lot of finesse, and some ridiculously great people skills.  It's a lot of knowing what to look for and knowing how to fix it.  Even better if you can anticipate issues and get in front of them.  What can you do to help keep everything on track?  How do you have the difficult conversations when things are 'sub-optimal'?  From that lazy guy on your team, to the Product Owner who doesn't like to estimate, to you losing your mind because you're always picking up the slack.  How do you help your team to solve problems and really sing?  You're a good Scrum Master.  Come find out how to be great.   
Scrum Under a Waterfall	200	It would be so easy if everyone at our companies just used Scrum -- or at least Agile.  No one would lean on the team for dates and deadlines, and everyone would know that change is a good thing.  It'd be one great big happy project management family.  But let's face it -- an all-Agile organization isn't always possible.  Maybe you have a Project Management Office (PMO).  Maybe you work for a government contractor.  Maybe you have regulatory requirements.  Maybe you're the first Scrum/Agile project at your company.  Maybe your company simply *likes* it this way.  Whatever the reason, Agile teams frequently report into Waterfall organizations.   Your team thinks "backlog" and your bosses think "project plan."  How do you make it work?  How do you ensure communication and foster trust between the two groups?  How do you bridge the project management impedance mismatch?  You need to find a way get everybody to ‘play nice’ so they can do their jobs. In this session, we’ll drill into the details of the project management impedance mismatch and talk about strategies to improve communication and delivery when you need to make Agile work inside a Waterfall-centric organization.     
Zero to Hero: Untested to Tested with Microsoft Fakes	300	You've got an application with no tests. Trust me. You're not alone. You'd love to get some great code coverage but no one ever thought about tests while they were building the app. It's tightly-coupled and there just isn't a good place to start adding unit tests. It feels hopeless but Visual Studio is here to help with Microsoft Fakes Framework. In this session we show you how to take a tightly-coupled app and turn it into something a lot more testable. Along the way, we also talk about the design patterns that will help you refactor your code for testability and make *future* code more testable from the start. When we're done, we'll not only have a well-tested app but we'll have a better software architecture with a clean separation of concerns that's much more maintainable. 
Have you finished testing?  Are you ready to ship?	300	In this session we cover how you can perform lightweight testing using the web-based test case management capabilities of Team Foundation Server or Visual Studio Online. We cover recent improvements to test case management starting with test organization, simplified test case authoring, managing test data at one central location, exporting test artifacts for review/sign-offs, lightweight test execution with bug filing, and so on. We show how you can improve your application quality and engage end-users across the enterprise using our tools. We also cover how Microsoft Test Manager helps you with a holistic quality enablement using exploratory testing, capturing rich diagnostic data during testing, and running automated tests across different environments. 
Visual Studio the only tool for the database developer?	100	Okay Visual Studio may not be the only tool for the database developer, however there is a lot you can do without going to SQL Server Management Studio. In this session we show some the feature that is now in Visual Studio for database developers. Some of the topics that will be discuss are managing different versions of your database, unit testing your UDFs and StoreProc, and much more.
Building a mini-spa In a Legacy MVC application with Angular and Breeze.	200	You heard that angular.js and breeze.js are great for building SPA (Single Page Application), however you have an existing MVC. This session will show how to make a mini spa that talks to an existing SQL Sever database without affecting your existing functionality. 
Creating custom Word and Excel Documents using Open XML Format	100	The 2007 Microsoft® Office system introduces a new file format that is based on XML called Open XML Formats. Microsoft Office Word 2007, Microsoft Office Excel® 2007, and Microsoft Office PowerPoint® 2007 all use these formats as the default file format.  Shortly after the release of VS2010 Microsoft did an out of band release of the Open XML Format SDK. This session will show how to use this SDK to create and manipulate Word and Excel documents. 
The Practical Side of Bitcoin 	100	It’s in the news all the time, and you just don’t know what to think about it. But, Bitcoin is here to stay.  It has even been sold by the FBI from confiscated goods.  Yes, it’s a “commodity”  but we are using it to barter for plane tickets, TV’s, laptops and cell phones. This talk will discuss how to obtain Bitcoins, how they can be used as a payment system, and how to use it day to day.    This is an introduction to Bitcoin for those that have no background in digital currency.  The discussion will show how easy it is to send and receive bit coins, as well as how it stands up to traditional payment processes. Leave this discussion with a digital wallet on your phone!
Build Adaptive UI's for Universal Windows Apps	100	An introductory session on Microsoft's new Universal Apps platform. In this session we will demonstrate how to build adaptive UI's that work for Windows 8.1 and Windows Phone 8.1 while sharing as much code as possible. You will learn about the latest Windows development platform, while taking away many tips and tricks for XAML development using Visual Studio. Having wome knowledge of Visual Studio and XAML will help you follow along.
Create mobile companion apps for your desktop apps using App Tethering	100	This session will show you how to extend your existing Windows application to mobile by easily creating mobile companion apps. You'll learn how to use C++ app tethering components, giving your applications the ability to interact with other applications running either on the same machine or on a remote machine. You will see how easy it is to discover other applications that are using app tethering, running either on the same device as your application or on other connected devices. This session will also show you how to publish actions and remotely invoke any of these actions. You will also learn how to use App Tethering to share data between applications.
Building C++ Mobile Cloud applications using BaaS providers	100	This session will show you how to integrate cloud based services from Back-end as a Service (BaaS) providers, Kinvey and Parse, into your C++ mobile applications. You will learn how to work with components for popular BaaS services including notifications, user management, and storage. You get easy access to these common services in the cloud without having to build them yourself or maintain them, add user authentication to your apps, use push notifications to engage your users and access data and object storage in the cloud.
Utilizing Enterprise Data Safely Across Multiple Platforms	100	Data storage is a critical part of any application, especially as more and more business applications adopt mobile platforms.  CIO's are embracing BYOD as a way to mobilize their workforce, but this brings a number of risk factors that data controllers need to factor into risk analysis.  In this session we will: 1. Explore how to give your applications the edge, and provide key information YOU need to be aware of as suppliers of mobile applications. 2. Focus on what you need to know to safely bring Enterprise data to mobile and to build better apps, along with providing better consultancy. 3. Focus on legal, commercial and design considerations,  to explore what YOU need to cover throughout the application lifecycle to make working with multiple platforms an achievable goal for delivering on devices, secure, manageable, and reliable data storage.  Questions to be answered during this session include: 1. Why use local storage in applications? 2. How BYOD mixes in? 3. Where do we need to worry about data? 4. Responsibilities & roles in data management (Data Processor and Data Controller 5. What does protection look like? 6. How you can protect your data simply everywhere!
Top 5 Mistakes Enterprise Developers Make When Going Mobile	100	Every developer must go mobile!  By 2015, tablets will be outselling desktops and portable PCs combined (IDC, May 2013).  With mobile’s unparalleled growth rate and unmatched subscriber counts, there’s no doubt that nearly every developer is either already going mobile, or thinking about it. Even tried and true mission critical desktop apps and large-scale enterprise systems have companion mobile apps that let users interact with desktop files or large systems while on the go. You too can create an awesome mobile user experience for your app and we've prepared and will discuss this list of 5 common mistakes that developers make when taking Enterprise functionality mobile - and how you can avoid them:  1. Trying to fit a desktop experience onto a mobile device 2. Not making the mobile user experience your top priority 3. Too much gets between your app, the OS and the Hardware 4. Building separate apps for different platforms 5. Not doubling down on security
“Rethink Your Infrastructure to Rebuild Your Code”	100	Developers love to ship changes: improving existing features and building new features to improve customer satisfaction is, after all, at the core of what they do. Software quality, code reviews and proper testing are cornerstones of shipping constantly, but developers need to be mindful of not interrupting service in the process.   Today, shipping less is simply not an option. Developers need everyone on their team to focus on how to improve the product. This session will encourage attendees to rethink the way they have built infrastructure and introduce a new form of workflow that implements practices like testing, virtualized environments and immutable infrastructure.   Flo will offer helpful tips, such as: ·       Thinking of servers like Post Its (useful, easy to understand and replaced without thinking twice) ·       Using different tools to ship regularly and build infrastructure that supports and innovates for thousands of developers ·       Ensuring there is a proper workflow in place that supports, and does not hinder, team activity   Attendees of all experience levels will walk away with an understanding of the importance of focusing only on the changes they introduce into their code and leaving everything else to automation.
AngularJS for ASP.NET MVC Developers	200	Angular continues to take the market on a wild ride. Its courses are popular and its developer base growing daily. Google wrote Angular to have no external dependencies and in fact many devs use it with HTML alone. But we’re Microsoft devs and we know that ASP.NET MVC is the best delivery platform for HTML out there. So why not make it an equally awesome delivery platform for Angular-based apps as well? When using ASP.NET MVC, you need to to know how to set Angular up with regards to modules, controllers, and services. And the truth is that not the entire site needs to be one giant Single-Page-Application. I’ll show how to design an ASP.NET MVC site so that it includes pockets of SPA that use Angular, taking advantage of binding, routing, and even back-button support - all while remaining on the client.
Deep Dive into Dependency Injection & Writing Testable Software	200	OK so you think you have a decent understanding of what Dependency Injection is right? But the truth is that to really write testable software you need to stop any hard class instantiation anywhere in your applications. We’re talking about a full embracement and understanding of dealing with abstractions and lifetime management. There are also details you need to understand about how DI Containers work and what makes one differ from the other. In this session, I’ll jump right into DI usage on various platforms. I’ll show you how to use it in a web, desktop, and even back-end service and data-access environment. I’ll also bring other patterns, like Abstract Factory, into play to solve other types of problem in conjunction with Dependency Injection. In the end, a combination of technique and product will ensure that your applications remain testable and extensible every step of the way. 
User Story Mapping	200	Initially put forward by Jeff Patton, Use Story Mapping is an approach to Organizing and Prioritizing User Stories.  In this hands on exercise, we will jointly create a user map, clearly defining order, minimal marketable features, and release plans.  Hat tip to Steven Rogalsky for first showing me this workshop.
Effective Leadership	200	Leaders aren't born, they aren't hatched, and they don't apparate. Leadership is a journey, one that involves hard work, practice, and a deep understanding of not only your team members but also yourself. I've led teams large and small throughout my 30 year career, and certainly made plenty of mistakes on the way,  But I've learned to fail fast, iterate, and continuously improve to create high performing teams across multiple verticals. 
Being Remote Doesn't Have to be Hard	200	More and more employees are looking to be remote, at least part time.  And an increasing number of companies are allowing remote workers.  What does it mean to be a remote worker or manage remote workers?  As a long time remote worker and manager of a remote work force, I will lead an interactive discussion on the ups and downs of being remote.
Event sourcing applied - building CQRS application with the event store and .NET	200	Almost every non-trivial software system requires some sort of a persistence. Relational databases and for some time already more and more no-sql databases are being used to persist the state of the system. In the event sourcing approach all relevant events that happened in the system are being stored which in adds the time dimension to the picture. In addition to the benefit of having recorded history of the system, event sourced systems combined with CQRS architecture are much easier to scale horizontally. This session is a short introduction to CQRS and event sourcing with working example of .NET application built with event sourcing and CQRS architecture. Basic concepts such an domain event, aggregate, projection and an event store will be introduced and demonstrated. 
Bootstrap your web styles with Twitter Bootstrap and LESS	100	Twitter Bootstrap is a simple but powerful CSS framework that simplifies web and front-end development. It is currently used by many web sites and is part of many frameworks for building single page applications.  With VS2013, it was even integrated in the default ASP.Net template.  In this session we start with an introduction to Twitter Bootstrap followed by how to use it when prototyping and building web applications and finish with a look at the growing ecosystem of extension, plug-ins and tools. 
Front-End Web Developer’s Toolbox	100	There are many ways to develop web applications these days: static web pages, traditional websites, single page applications, mobile web applications, hybrid applications.   The demand on a developer’s skillset has increased dramatically in the last few years.   We used to be able to choose one IDE (or editor) like Visual Studio for all our development tasks and call it a day.   Times have changed.  This session will introduce various front-end web development workflows using modern tools and languages.  Along the line we’ll explore libraries, frameworks, development and build tools and learning resources to make it all work together. 
Azure, .NET and the Internet of Things	100	The Internet of Things (IoT) movement is picking up steam.  It's estimated that by 2020, the IoT will be an $8.9 trillion market with over 200 billion connected devices.  In this session you'll learn how to leverage your existing .NET skills to build the next big (or tiny) thing!    This session will explore:  - What is the Internet of Things? - An introduction to basic micro electronics. - What is the .NET Micro Framework (NETMF)? - Exploring the Netduino and Arduino. - Running C# on a Raspberry Pi. - Connecting your devices to Azure. - Using the Windows on Devices SDK with an Intel Galileo.  There will be no time for boring slides here.  Instead we'll be covering lots of code and fun interactive demos with the audience.  Be sure to attend because you won't want to miss out on the swag and cool prizes given away during the session.
Learning How to Shape and Configure an OData Feed for High Performing Web Sites and Applications	200	You have all sat through the simple WCF Data Service or ASP.NET Web API introductory sessions multiple times and they are valuable but it is time to learn how to really leverage that WCF knowledge and learn how to build and produce valuable OData feeds which will allow your applications usability to sizzle.  At the same time you will learn how OData is built for high performance and security. Chris Woodruff will teach and give deep knowledge into the configuration and extensibility of the Web API/OData feed. It will also teach developers to secure their feeds through multiple user authentications such as OAuth, Windows and Forms Authentication.
Why Windows 8 Applications need OData and How You can be a Data Ninja	200	Windows 8 applications are the ultimate in consumer experience but what drives these applications? Data!! What you need to remember about Windows 8 applications is that they can work with data through web services. What is the easiest way to drive your new Metro applications and make your users happy? OData is the answer and Chris Woodruff will teach you the secrets of OData and how these skills will make you a Master of Data.
Developing Mobile Solutions with Azure Mobile Services in Windows 8.1 and Windows Phone	200	Mobile applications are the current hot development topics today. Windows 8.1 and Windows Phone applications developed with Azure are designed to be easily reused, simplifying your experience and optimizing your time when building your own phone applications leveraging cloud services. How to architect and build your mobile app with Azure will be explained by Microsoft MVP Chris Woodruff along with best practices to take back to your team and organization.
Gaining the Knowledge of the Open Data Protocol (OData)	100	The Open Data Protocol (OData) is an open protocol for sharing data. It provides a way to break down data silos and increase the shared value of data by creating an ecosystem in which data consumers can interoperate with data producers in a way that is far more powerful than currently possible, enabling more applications to make sense of a broader set of data. Every producer and consumer of data that participates in this ecosystem increases its overall value.  OData is consistent with the way the Web works – it makes a deep commitment to URIs for resource identification and commits to an HTTP-based, uniform interface for interacting with those resources (just like the Web).   This commitment to core Web principles allows OData to enable a new level of data integration and interoperability across a broad range of clients, servers, services, and tools.  In this talk Chris Woodruff will provide an in depth knowledge to this protocol and how to implement an OData service on Windows using the WCF Data Services and ASP.NET WebAPI products. 
The Top Reasons You Need to Learn about Data in Your Windows Phone App	200	You know you have to have a great experience when you develop your Windows Phone 8 applications right? The greatest experience you can give your users is around their data. There are ways to improve your Windows Phone 8 application and Chris Woodruff will teach you how to get data quickly, save it with validation, save it locally and many, many more tricks. Come see why you should know the tricks of the trade before developing that killer Windows Phone 8 app. You will be a Data Experience expert when you leave the room after this session.
Introducing Roslyn	200	Project Roslyn is Microsoft's next-generation compiler for C# and VB that will revolutionize the .NET ecosystem by enabling the average .NET developer to leverage the power of the compiler. We will explore the APIs exposed by the compiler, and how they can be used to create custom diagnostics and code fixes to help other developers follow recommended practices and avoid hidden traps.
Symfony2: The Good Parts	200	I want to do a talk on practical PHP scalability in the cloud with Symfony 2 Framework.  I would briefly introduce Symfony 2 for those who are not familiar and then review 2-3 site architectures we have launched on the platform on both AWS and Rackspace Cloud with an eye toward some practical steps you can take to ensure high scalability with PHP without having a dedicated engineering staff or custom compilers (ala Facebook).
How to implement a well thought out relevancy system on your website	200	I previously worked on search at Etsy, Workmarket, and other startups where I noticed the same patterns and mistakes being made throughout. This presentation will outline:  * Planning search at your startup * Planning relevancy – and why this is important * Evolving your relevancy algorithm * A live demo  After compiling the data from the US Census in NYC and combining it with restaurant rankings, I found interesting results:  A relevancy algorithm that suggests great cuisine in NYC with the highest chance of finding a rich single person to dine with.  In other words, a search engine for hungry gold diggers - male or female.  Before the presentation, the code will be available on github and self contained for running.
The Urban Coding Debacle -Finding Black and Hispanic Coders in the 21st Century	200	A projector A microphone Wi-FI will bring my laptop  
Multitasking and Background Processing in Windows Phone 8.1	200	Windows Phone 8.1 introduced new mechanisms to allow applications to execute while not in the foreground. A converged Triggers and Background Tasks implementation allows tasks to launch on time, location, push, Bluetooth and system events.  In this session we’ll learn how to leverage these new features from Windows Phone Silverlight 8.1 Apps or Universal Windows apps in C#. We’ll also discuss techniques to write your background task code more efficiently using C++.  This session will be most useful for developers with experience writing a Windows or Windows Phone App.
To Git or Not To Git in TFS	200	Now that you can host Git repositories in TFS, should you?  This session explores the up and downs of using TFS to host your Git repositories.  We will also cover the differences between Git and Team Foundation Version Control (TFVC).  This session is geared for audiences who use TFVC and curious about Git or Vice-Versa.  We will show examples of common workflows and scenarios using Git and TFVC along the way.  
The All-in Devtest scenario: Moving your TFS to the cloud	200	Your dreams to become reality… Developing in the cloud means no hardware maintenance and significant infrastructure savings. Now that you are hooked with Azure,  why not move all your development activities into the Cloud? This presentation will show the benefits and best practices on migrating your on-premise TFS to the cloud, including examples of implementing new possibilities for collaboration, automated build, deployment, and monitoring your applications.
Continuous Delivery with Azure: Choosing Your Release Strategy	200	Deploy in seconds now! The ability to automatically release your application is a core component of your DevOps strategy. Take advantage of the deployment automation capabilities with Azure in PaaS mode and explore the options available to deploy automatically to Azure with Release Management and TFS. This presentation will guide you through best practices for continuous delivery in the cloud, with a sprinkling of new PowerShell features along the way.
Leveraging Azure for Production and Performance Analytics	300	We just had a successful deployment to production and all is well... or is it?  Application Insights is a new set of features and integration points between Visual Studio 2013 and Visual Studio Online to bring you rich reporting and monitoring of production performance. This session will demonstrate how to utilize Application Insights to not only monitor how and when people are using your applications, but also how you can use this service to monitor the performance and responsiveness of your app from across the globe.  We will also cover how you can use Application Insights to be alerted when there are production problems with your applications and how to quickly diagnose such exceptions using Visual Studio 2013.
Database Development Practices for Azure and Cloud Solutions	200	Prepare yourself; we are living in a JavaScript world now, and the growing popularity of cloud and mobile solutions will force you to rethink your database development strategies and practices.  In this session we will cover what you need to consider as your data architecture evolves to be shared among multiple platforms and hosted in Azure. We will demonstrate tools and proven practices to transition, develop, deploy and manage database solutions for Microsoft Azure Data Services.  Attendees should be familiar with the Microsoft Azure application platform and have experience with SQL Server OTLP database development. 
Logging with Semantics	100	In this discussion we will be focusing EventSource API in .net framework 4.5 and how Semantic Logging Application Block builds on top of that, providing multiple log destination support. We will be discussing how we can bring more structure in our logging using the application block, improving troubleshooting of problems. This can only be achieved by proper and well-designed instrumentation.
Absolute beginner's session on WCF	100	Are you brand new to WCF (Windows Communication Foundation) and would like to see some beginner/introduction demos on WCF?  If so, this session is for you?   In this session I'll cover the basics of WCF, and show a variety of small but meaningful demos to focus on how you can incorporate WCF into applications.  I've used WCF in production applications and can walk you through some of the learning curve in this session.
T-SQL for Application Developeors - attendees choose topics	200	That's right, attendees choose! I'll show nearly 30 possible topics on the screen, and the attendees vote at the beginning on which topics I'll cover.   Everything from isolation levels to ranking...everything from GUIDs to table-valued functions....everything from querying temporal data to instances where subqueries are necessary....everything from update triggers to reading execution plans...everything from cumulative totals to uses for UNPIVOT....and more!  You'll walk away with 30 code samples, even though we'll only cover a portion of them in the presentation. This has always been a very popular session. 
Aggregate your Data with MongoDB	200	The MongoDB Aggregation Pipeline is a ridiculously powerful tool for querying and aggregating your data. In this session, I will walk you through how to stage your queries through each step of the pipeline. I will show you how to use $project, $match, $group, and the rest of the option to their full ability.
Managing Developers	200	Most modern day workers have a very negative view on middle or front line managers. They see managers as waste and a constant source of interruptions to their day. My contention is exactly the opposite. A “Good” manager should make their developers more productive. Not by standing over their shoulder and making sure they are working, but by standing behind them and keeping everyone else off their backs.  In this session I will teach you the top attributes of a really good manager and how to implement them for your team. I will show you how to improve the productivity and satisfaction of your team members with 10 straightforward techniques.
Rocking Out With Android Studio	100	Android Development has come a long way with the release of Android Studio. In this sessions we will explore the power of Google’s new development platform – along with some tips and tricks for how to get the most out of it. 
The Right Amount Of Planning	100	With agile projects, finding the balance of planning can be a difficult balance. Plan too much, and when things change (and they will) your time was wasted. However, if you plan too little, you may end up going off in the wrong direction. In this session, we will discuss what the right amount of planning is to get you started, but how to avoid doing so much that you are wasting your time. 
CSS is Easy! No, Really...	100	If you laughed out loud at the session title than you are where I was no long ago. To put it bluntly CSS sucks... That is until Bootstrap came along and removed all the pain and suffering that came along with CSS. It this session I will walk you through Bootstrap and show you all the powerful features it has to offer. 
Build a Restful API with Node.js and Express	200	Node.js is a simple and powerful tool for backend development. And to make it even better, it is written in JavaScript, everyone's favorite language. Ok, so maybe not everyones, but in this session we will walk through how to stand up a lightweight Express server serving truly restful services using node.js, mongoose, and mongoDB. 
SignalR Powered Cross-Platform Real-time Mobile Apps!	200	ASP.NET | SignalR | HTML5/JS | .NET | Windows 8 | Windows Phone | iOS | Android | Hybrid Mobile Apps.  That’s all .. let me show you the possibilities!
Backend As A Service – From soup to nuts!	100	Keep hearing that you need to augment your mobile solution with cloud support? You need a Backend. Here – short run down of popular BAAS features:  - Cross-platform versatility of REST API - Storage, validation & manipulation of Data - User Authentication (social) & Authorization - Seamless Push Notifications across platforms - Notification Hubs, Custom API & Scheduler  We’ll look into Microsoft Azure Mobile Services & Telerik Backend Service. Basics to real-world implementations.  
Kendo UI 101	100	Love building for the modern web or mobile apps with HTML5/JavaScript/CSS? You want maximum reach, but tired of countless JavaScript or other libraries that you have to integrate? Enter – Kendo UI, the one framework to rule them all. Kendo UI offers a comprehensive HTML5/JavaScipt framework for modern web & mobile app development. Kendo UI has it all: lots of rich jQuery-based widgets, a simple and consistent programming interface, mobile framework, server wrappers, rock-solid DataSource, validations, internationalization, a built-in MVVM framework, themes, templates and more. Kendo UI comes in free open-source or professional versions for most flexibility. And you could also plug & play almost anything with Kendo UI. How cool is that? Come see the potential as we walk through easy steps to integrate Kendo UI in your web/mobile applications & turn on the magic. We owe it to each other to build a modern better web! And cross-platform mobile apps!
Cross-Platform Mobile Development	100	It’s 2014 and it’s insane not to support every mobile platform to reach broadest user base. Let’s keep this simple: Cross-platform Hybrid Mobile development | One codebase | Telerik Platform| AppBuilder | HTML5/JS | Cordova | IDEs | Backend Services | Prototype/Test/Deploy/Manage | End-to-End Mobile.  Join me as we explore the possibilities! 
Take control of your interface - Crafting API responses for your clients	200	Web frameworks help you build an API quickly but most have little support for dealing with an API that needs to evolve, forcing you to prematurely version your API.  Take back control of the content you send over the wire.  API responses are the "user interface" of your API and should be crafted with same attention to detail that cause designers to fret over color choices, shadows and highlights.  In this talk I’ll show you what I have learned about API response design in the last 8 years of building Web APIs. I'll cover issues like structuring for evolution, sizing for optimum caching, the different ways to include metadata, media type selection and many other issues that surface when trying to design an API for the long haul.
Hypermedia APIs can be game changing, but the secret sauce is in the client.	200	Have you built a hypermedia API, or thinking about it and still puzzled as to what all the hype is about?  You see some incremental benefits, some extra work, but nothing game changing.  People like to throw around the HATEOAS acronym and talk about state machines defining your application.  But what does that actually mean.  How does that help?  The difference lies in writing a client that is driven by the hypermedia API rather than simply using the hypermedia API.  This talk will show code examples that demonstrate how to build mobile and desktop client applications that are simpler, easier to support on multiple platforms, more maintainable and require updating less often. 
How to Write Browser-Based Tests That AREN'T a Waste of Time 	100	Imagine this: you've written a whole suite of tests that open up a browser and run through your entire web application, entering text and clicking on buttons just like a real user would. Even though they may take a while to write and to run, you're confident that your browser-based test suite does a pretty good job of verifying the whole system. Quality is great and users are happy!      Then you need to make some UI change which breaks a dozen tests and you just don't have time to fix them all... so you ignore them and promise yourself you'll go back and fix them when you have the time (which you never do).    Then it happens AGAIN, resulting in a dozen more ignored tests.    THEN...  Well, you get the point.    Not too long ago, experiences like that caused me to completely write off browser-based automated tests as flaky and a huge waste of time.  That is, until I realized the main reason that my tests were so flaky is that I was writing them all wrong!  In this presentation we'll look at a subtle but powerful approach to browser-based testing that abstracts your test code from the details of your UI, making your tests easier to maintain by keeping you from having to rewrite them all the time, and bringing back the value of having browser-based automated tests again! 
Automated Unit Testing for Mere Mortals 	100	Are you intrigued by the great potential benefits of automated unit testing, but get turned off by all of the jargon like TDD, BDD, etc. as well as a whole new suite of tools to download, learn, and sell to your team? You may be surprised to know just easy and accessible automated unit testing can be… using the Visual Studio tools you most likely already have installed!    In this talk we will discuss what, exactly, "automated unit testing" means, then dispel many of the popular unit testing myths and misconceptions. We'll even look at various ways to add automated unit tests to your existing applications. With any luck, you'll be able to walk out of this talk ready to leverage automated unit tests in your current project starting immediately. 
Intro to AngularJS:  Hello, client-side MVC!	100	AngularJS - you've seen it everywhere, but just what the heck is it?  What's so great about it?  Why would you choose to learn a whole new application framework when you already know and love jQuery (and/or KnockoutJS)?  In this discussion I'll walk you through the basics of AngularJS, from the very first lines of code you may write to those annoying gotchas that annoy everyone who starts out with the framework.  I'll show you how AngularJS can fundamentally change the way that you think about writing your rich client-side web applications.
Application Performance & The .NET/ASP.NET Developer	200	This action packed session discusses application performance from the eyes of the developer. Looking into tips, tricks, and tools to help developers keep their applications under control in various situations. This joint session for ASP.NET and Non-ASP.NET developers will help to illustrate the differences that application type, user type, and deployment scenarios can have on the performance needs and issues surrounding an application. Third-party tools will be discussed in this session as a method of helping to diagnose and resolve issues.
A Practical Implementation of Async	200	Rather than coming up with a focused "Example" of Async that attendees will have to go back an work on their own to understand how to integrate the technology with their application. This session uses multiple real-world applications to show practical implementations of Async within actual applications. These samples are coupled with detailed background information on WHY the technology was used. By using this approach we are able to cover various scenarios and implementations of the Async pattern, including offloading, parallelism, and behind the scenes optimizations. All sample applications will be available for attendees as well after the session to ensure that understanding can continue from the session.
ASP.NET 4.5 For Web Forms Developers 	200	There are a lot of us out there for a number of reasons that might not be working with ASP.NET MVC and might not have a plan to migrate to it anytime soon. With .NET 4.5 Microsoft proves that it isn't a big deal and added a bunch of much needed enhancements to the ASP.NET 4.5 Web Forms framework that brings some of the nicest features that were introduced in MVC to those of us using Web Forms.  In this practical demo we will investigate these new features and discuss how they can be used to help improve developer productivity!
Delivering Cloud Enabled Applications	100	Using Microsoft services, such as Azure, learn how to power your application through the cloud with Mobile Services, Push Notifications, Virtual Machines and more. Enable web and native applications using these tools and services.
Building Machine Learning Solutions using Azure ML Services	200	During this demo packed session, we will review the fundamental concepts behind Machine Learning technology and data analysis. This session will help you build intuition on these techniques can be applied to solve real scenarios such as categorization of data and outcome predictions. You will also learn how you can easily create experiments and build your models using Azure Machine Learning services and Azure ML Studio.   As a pre-requisite: Be prepare for a bit of Math! 
Android Wear Primer	200	A fast paced introductory boot-camp hands on codelab that will introduce all the concepts and best practices for developing for Android Wear.   From a review of Android notifications for novice Android developers to a look at using advanced and unofficial APIs for advanced developers.  A laptop with Android Wear prerequisites (Eclipse will be supported for this session as well but Android Studio and Gradle are recommended). For prerequisites see: http://developer.android.com/training/wearables/notifications/index.html
